Iteration,Discriminator Loss,Generator Loss
2520,1.358328,0.569367
2530,1.371624,0.607801
2540,1.322350,0.527196
2550,1.364889,0.676935
2560,1.344225,0.713734
2570,1.362448,0.686785
2580,1.401161,0.743234
2590,1.356722,0.693340
2600,1.344485,0.760881
2610,1.357771,0.729461
2620,1.316007,0.467344
2630,1.347215,0.758550
2640,1.358094,0.728651
2650,1.364112,0.613284
2660,1.356421,0.647781
2670,1.376101,0.636552
2680,1.358279,0.546456
2690,1.353125,0.699490
2700,1.356283,0.864323
2710,1.361237,0.745632
2720,1.334252,0.733183
2730,1.371576,0.694732
2740,1.402554,0.740077
2750,1.390797,0.611785
2760,1.375462,0.713936
2770,1.350846,0.745178
2780,1.348841,0.701883
2790,1.366222,0.676031
2800,1.370539,0.599454
2810,1.357827,0.697456
2820,1.350509,0.694722
2830,1.351821,0.778012
2840,1.388518,0.532519
2850,1.347955,0.777396
2860,1.362503,0.822193
2870,1.350512,0.592397
2880,1.349662,0.712591
2890,1.378667,0.863237
2900,1.391257,0.706665
2910,1.358804,0.629703
2920,1.356832,0.673679
2930,1.372262,0.831988
2940,1.351705,0.485987
2950,1.353730,0.831997
2960,1.352767,0.832334
2970,1.335632,0.783986
2980,1.316852,0.719157
2990,1.368273,0.697105
3000,1.340774,0.713801
3010,1.364240,0.575514
3020,1.326523,0.706814
3030,1.355178,0.480512
3040,1.335751,1.015957
3050,1.426242,0.861645
3060,1.363744,0.705111
3070,1.338061,0.576320
3080,1.346905,0.881477
3090,1.310867,0.643159
3100,1.336861,0.593698
3110,1.388725,0.558330
3120,1.355854,0.710604
3130,1.335000,0.632810
3140,1.333431,0.643341
3150,1.305225,0.668447
3160,1.342654,0.597106
3170,1.340025,0.627679
3180,1.306831,0.602297
3190,1.313096,0.567987
3200,1.324891,0.581371
3210,1.361079,0.705492
3220,1.368367,0.902954
3230,1.312839,0.711030
3240,1.369953,0.650697
3250,1.367450,0.604081
3260,1.332931,0.616627
3270,1.368374,0.711648
3280,1.365769,0.702803
3290,1.340909,0.559496
3300,1.365614,0.671864
3310,1.352769,0.613743
3320,1.373774,0.709806
3330,1.348305,0.715957
3340,1.321192,0.813725
3350,1.311943,0.648104
3360,1.307325,0.408414
3370,1.328642,0.597079
3380,1.404069,0.805135
3390,1.351409,0.663831
3400,1.359262,0.728173
3410,1.357681,0.644883
3420,1.357962,0.690629
3430,1.344406,0.687101
3440,1.331580,0.888497
3450,1.350824,0.687025
3460,1.328935,0.665804
3470,1.371990,0.695939
3480,1.366621,0.727484
3490,1.335741,0.713343
3500,1.358560,0.676369
3510,1.360193,0.689721
3520,1.366412,0.592022
3530,1.322509,0.665847
3540,1.371738,0.659264
3550,1.363384,0.694380
3560,1.364599,0.548317
3570,1.359179,0.730917
3580,1.352385,0.696848
3590,1.346318,0.666649
3600,1.366055,0.653640
